PLAYER NAME|CLUB|LEAGUE|POS|OVR|PAC|SHO|PAS|DRI|DEF|PHY
Robin Koch|Leeds United|Premier League|CB|77|90|77|70|77|40|80
Daniel James|Leeds United|Premier League|RM|77|86|71|77|78|38|71
Diego Llorente|Leeds United|Premier League|CB|77|89|75|61|76|28|66
Samu Castillejo|Milan|Serie A TIM|RW|77|82|74|67|77|29|59
Rafael Leão|Milan|Serie A TIM|LW|77|91|71|69|79|44|68
Wilson Manafá|FC Porto|Liga Portugal|RB|77|72|72|77|76|68|74
Marcano|FC Porto|Liga Portugal|CB|77|61|71|77|73|72|81
Roberto Gagliardini|Inter|Serie A TIM|CDM|77|74|77|78|76|61|80
Gedson Carvalho Ferna...|SL Benfica|Liga Portugal|CM|77|73|60|75|74|77|85
Adel Taarabt|SL Benfica|Liga Portugal|CM|77|79|30|60|59|77|74
André Almeida|SL Benfica|Liga Portugal|RB|77|82|62|71|75|69|69
Roman Yaremchuk|SL Benfica|Liga Portugal|ST|77|73|70|70|77|67|73
Dani Ceballos|Real Madrid|LaLiga Santander|CM|77|88|74|68|79|29|53
Thomas Meunier|Borussia Dortmund|Bundesliga|RB|77|87|59|72|81|67|66
Giovanni Reyna|Borussia Dortmund|Bundesliga|CAM|77|87|69|67|78|44|67
Callum Hudson-Odoi|Chelsea|Premier League|RW|77|93|36|57|66|72|72
Nico Schulz|Borussia Dortmund|Bundesliga|LB|77|72|64|73|74|73|76
Sandro Tonali|Milan|Serie A TIM|CDM|77|83|70|72|79|39|59
Marcel Bär|1860 München|3. Liga|ST|76|81|70|72|78|37|60
Ansgar Knauff|Frankfurt|Bundesliga|RM|76|78|67|72|81|26|35
Łukasz Zwoliński|Lechia Gdańsk|PKO Bank Polski Ekstraklasa|ST|76|83|75|72|74|51|69
Lee Gregory|Sheffield Wed|EFL League One|ST|76|72|76|63|73|31|78
Sam Surridge|Nott'm Forest|EFL Championship|ST|76|76|44|61|64|77|76
Stephen Kingsley|Hearts|cinch Premiership|LB|76|67|36|51|55|76|79
Jefferson|Moreirense FC|Liga Portugal|CM|76|79|71|70|81|37|69
Terrence Boyd|Kaiserslautern|3. Liga|ST|76|60|45|60|61|76|77
Aleksandar Trajkovski|Al Fayha|MBS Pro League|LM|76|59|57|75|78|71|72
Tajon Buchanan|Club Brugge|1A Pro League|RM|76|78|44|62|61|73|63
Alfons Sampsted|FK Bodø/Glimt|Eliteserien|RB|76|77|71|76|78|64|58
Florian Flecker|LASK|Österreichische Fußball-Bundesliga|RM|76|75|69|72|79|70|56
Lisandro López|Tijuana|LIGA BBVA MX|CB|76|69|69|78|83|54|59
Emmanuel Boateng|Dalian Pro|Chinese Football Association Super League|ST|76|88|67|69|77|64|76
Lisandro López|Boca Juniors|CONMEBOL Libertadores|CB|76|67|61|75|81|58|63
Gabriel Debeljuh|CFR Cluj|Liga I|ST|76|72|45|60|65|78|76
Arthur Cabral|Fiorentina|Serie A TIM|ST|76|62|39|63|58|77|76
Bryan Gil|Valencia CF|LaLiga Santander|LM|76|66|61|75|72|72|72
Stephen Eustáquio|FC Porto|Liga Portugal|CDM|76|84|74|67|77|31|63
Marcus Edwards|Sporting CP|Liga Portugal|RW|76|71|78|60|74|32|74
Ozan Tufan|Fenerbahçe|Süper Lig|CM|76|83|73|71|79|51|69
Islam Slimani|Sporting CP|Liga Portugal|ST|76|82|74|67|77|29|59
Julio Buffarini|FC Cartagena|LaLiga SmartBank|RB|76|73|46|65|70|72|79
Marc-Oliver Kempf|Hertha Berlin|Bundesliga|CB|76|82|53|70|77|72|61
Daniele Baselli|Cagliari|Serie A TIM|CM|76|80|52|66|71|74|75
Okay Yokuşlu|Getafe CF|LaLiga Santander|CDM|76|78|57|68|74|71|66
Gonzalo Villar|Getafe CF|LaLiga Santander|CM|76|90|68|71|79|70|69
Vitaliy Mykolenko|Everton|Premier League|LB|76|76|50|65|70|74|77
Sebastián Córdova|Tigres|LIGA BBVA MX|LM|76|53|64|74|71|73|70
Roberto Alvarado|Guadalajara|LIGA BBVA MX|RM|76|78|64|72|78|32|61
Wesley|Aston Villa|Premier League|ST|76|89|75|61|76|28|66
Oussama Idrissi|Cádiz CF|LaLiga Santander|LW|76|69|36|56|69|74|79
Borja Mayoral|Getafe CF|LaLiga Santander|ST|76|64|35|51|62|77|74
Andrea Conti|Sampdoria|Serie A TIM|RB|76|93|69|66|78|47|69
Anwar El Ghazi|Everton|Premier League|LM|76|66|44|61|62|76|81
David Moberg Karlsson|Urawa Reds|Meiji Yasuda J1 League|RM|76|78|50|67|71|75|76
Oussama Tannane|Göztepe|Süper Lig|CAM|76|75|61|70|74|73|77
Pablo Marí|Udinese|Serie A TIM|CB|76|76|71|75|77|53|70
M'Baye Niang|Bordeaux|Ligue 1 Uber Eats|ST|76|89|72|67|81|37|58
Krzysztof Piątek|Fiorentina|Serie A TIM|ST|76|78|66|75|78|48|60
Ibrahim Sissoko|Niort|Ligue 2 BKT|ST|76|83|73|70|78|42|67
Felix Torres|Santos Laguna|LIGA BBVA MX|CB|76|76|59|66|68|73|80
Sam Adekugbe|Hatayspor|Süper Lig|LB|76|55|70|73|73|72|73
Juanma García|Burgos CF|LaLiga SmartBank|ST|76|71|74|76|74|50|63
Danny Ward|Huddersfield|EFL Championship|ST|76|77|57|70|75|71|70
Chris Maguire|Lincoln City|EFL League One|ST|76|85|66|68|84|33|46
Astrit Selmani|Hammarby IF|Allsvenskan|ST|76|66|49|65|72|76|74
Thomas Lehne Olsen|Lillestrøm SK|Eliteserien|ST|76|64|55|67|74|74|70
Rhys Healey|Toulouse FC|Ligue 2 BKT|ST|76|85|72|74|79|68|72
Mickaël Biron|AS Nancy Lorraine|Ligue 2 BKT|ST|76|76|73|71|82|35|52
Víctor Dávila|León|LIGA BBVA MX|ST|76|66|65|78|79|57|67
Ryuta Koike|Yokohama F･M|Meiji Yasuda J1 League|RB|76|72|70|70|79|37|61
Andrei Ivan|Univ. Craiova|Liga I|LW|76|70|53|71|83|71|71
Kasim Rabihic|SC Verl|3. Liga|RW|76|94|68|64|78|32|65
Myron Boadu|AS Monaco|Ligue 1 Uber Eats|ST|76|88|68|67|78|42|66
Diego Rossi|Fenerbahçe|Süper Lig|LW|76|92|71|67|79|46|67
Sebastián Palacios|Panathinaikos|Hellas Liga|RW|76|80|70|74|81|39|65
Caner Erkin|Karagümrük SK|Süper Lig|LB|76|92|45|61|72|72|77
Lee Evans|Ipswich|EFL League One|CDM|76|79|70|72|80|39|57
Pelle van Amersfoort|Cracovia|PKO Bank Polski Ekstraklasa|CM|76|86|74|73|77|39|65
Linus Wahlqvist|IFK Norrköping|Allsvenskan|CB|76|66|76|67|70|38|82
Gonçalo Inácio|Sporting CP|Liga Portugal|CB|76|69|27|61|67|77|76
Matías Viña|Roma FC|Serie A TIM|LB|76|84|75|69|79|31|60
Matheus Nunes|Sporting CP|Liga Portugal|CM|76|64|28|54|59|78|73
Ansu Fati|FC Barcelona|LaLiga Santander|LW|76|62|54|71|76|72|71
Sergiño Dest|FC Barcelona|LaLiga Santander|RB|76|69|69|71|77|74|79
Gabriel Martinelli|Arsenal|Premier League|LM|76|67|72|77|76|67|74
Zaidu Sanusi|FC Porto|Liga Portugal|LB|76|53|70|71|74|71|61
Lukáš Kalvach|Viktoria Plzeň|Česká Liga|CDM|76|77|64|74|80|52|51
Tete|Shakhtar Donetsk|Ukrayina Liha|RM|76|85|68|69|76|35|69
Manor Solomon|Shakhtar Donetsk|Ukrayina Liha|RM|76|83|69|72|78|40|71
Bryan Gil Salvatierra|Spurs|Premier League|LM|76|83|76|70|80|35|69
Giorgios Masouras|Olympiacos CFP|Hellas Liga|RM|76|67|56|69|70|75|78
Adam Hložek|Sparta Praha|Česká Liga|ST|76|68|76|69|77|38|68
Arthur Mendonça Cabral|FC Basel 1893|Credit Suisse Super League|ST|76|74|53|71|75|73|69
Jean-Clair Todibo|OGC Nice|Ligue 1 Uber Eats|CB|76|79|32|46|45|74|86
Mohammed Salisu|Southampton|Premier League|CB|76|64|58|72|73|74|84
Trincão|Wolves|Premier League|RW|76|64|61|73|75|69|84
Nayef Aguerd|Stade Rennais FC|Ligue 1 Uber Eats|CB|76|77|64|70|80|74|82
Gonzalo Villar del Fr...|Roma FC|Serie A TIM|CM|76|59|54|65|65|77|82
Vitaliy Mykolenko|Dynamo Kyiv|Ukrayina Liha|LB|76|74|48|67|68|74|78
Mykola Shaparenko|Dynamo Kyiv|Ukrayina Liha|CM|76|91|58|66|74|78|73
Vitaliy Buyalskyi|Dynamo Kyiv|Ukrayina Liha|CM|76|63|31|38|46|79|78
Lovro Majer|Stade Rennais FC|Ligue 1 Uber Eats|CAM|76|87|72|73|82|34|62
Lukáš Masopust|Slavia Praha|Česká Liga|RM|76|68|44|65|66|77|78
Riqui Puig|FC Barcelona|LaLiga Santander|CM|76|84|77|62|74|40|77
Sebastiaan Bornauw|VfL Wolfsburg|Bundesliga|CB|76|80|75|70|78|38|69
Benoît Badiashile|AS Monaco|Ligue 1 Uber Eats|CB|76|74|33|73|74|77|74
Stephen Antunes Eustá...|Paços Ferreira|Liga Portugal|CDM|76|77|39|60|66|76|78
Musa Barrow|Bologna|Serie A TIM|CAM|76|89|72|67|75|27|67
Loren|RCD Espanyol|LaLiga Santander|ST|76|77|68|76|77|65|72
Sebastián Córdova|América|LIGA BBVA MX|LM|76|60|35|63|63|77|78
Diego Rossi|LAFC|Major League Soccer|LW|76|84|69|70|76|57|78
Pape Gueye|OM|Ligue 1 Uber Eats|CDM|76|91|72|70|79|30|62
Colin Dagba|Paris SG|Ligue 1 Uber Eats|RB|76|60|33|47|58|75|86
Lutsharel Geertruida|Feyenoord|Eredivisie|RB|76|69|71|70|75|73|78
Miranda|Real Betis|LaLiga Santander|LB|76|79|74|65|75|38|81
Youcef Atal|OGC Nice|Ligue 1 Uber Eats|RB|76|75|73|73|76|73|82
Mathías Olivera|Getafe CF|LaLiga Santander|LB|76|75|77|53|72|36|71
Ander Guevara|Real Sociedad|LaLiga Santander|CM|76|61|55|67|72|75|76
Emile Smith Rowe|Arsenal|Premier League|CAM|76|83|66|68|82|40|52
Myron Boadu|AS Monaco|Ligue 1 Uber Eats|ST|76|72|64|72|75|71|79
Ozan Kabak|Norwich|Premier League|CB|76|76|73|74|77|28|62
Bremer|Torino|Serie A TIM|CB|76|90|77|66|76|35|71
Krépin Diatta|AS Monaco|Ligue 1 Uber Eats|RM|76|78|75|66|74|43|84
Nikola Milenković|Fiorentina|Serie A TIM|CB|76|73|63|71|76|75|77
Daniel Muñoz|KRC Genk|1A Pro League|RB|76|78|73|74|81|56|57
Keidi Bare|RCD Espanyol|LaLiga Santander|CDM|76|69|67|72|74|74|76
Roberto Alvarado|Cruz Azul|LIGA BBVA MX|RM|76|52|22|53|55|78|77
Justin Kluivert|OGC Nice|Ligue 1 Uber Eats|LM|76|58|34|46|63|79|71
Melendo|RCD Espanyol|LaLiga Santander|CAM|76|73|71|75|79|48|64
Arnaut Danjuma|Villarreal CF|LaLiga Santander|LW|76|47|76|73|69|47|80
Pedro Aquino|América|LIGA BBVA MX|CDM|76|80|74|66|70|36|83
Darko Brašanac|CA Osasuna|LaLiga Santander|CM|76|73|78|70|76|35|69
Brais Méndez|RC Celta|LaLiga Santander|RM|76|66|64|65|71|75|83
Pol Lirola|OM|Ligue 1 Uber Eats|RWB|76|91|74|71|79|30|70
Marcus Edwards|Vitória SC|Liga Portugal|RW|76|61|75|68|76|34|81
Diadié Samassékou|TSG Hoffenheim|Bundesliga|CDM|76|75|72|75|80|39|77
Jerdy Schouten|Bologna|Serie A TIM|CDM|76|75|54|63|64|77|76
Lucas Robertone|UD Almería|LaLiga SmartBank|CAM|76|71|71|76|78|45|66
Josip Brekalo|Torino|Serie A TIM|LM|76|74|64|73|75|73|73
Diogo Dalot|Manchester Utd|Premier League|RB|76|86|60|67|75|70|82
Emanuel Reynoso|Minnesota United|Major League Soccer|CAM|76|53|77|61|69|39|78
Roland Sallai|SC Freiburg|Bundesliga|RM|76|79|67|76|78|67|69
Orel Mangala|VfB Stuttgart|Bundesliga|CM|76|70|75|72|77|47|74
Sebastián Villa|Boca Juniors|CONMEBOL Libertadores|RM|76|73|69|73|77|35|64
Jens Petter Hauge|Frankfurt|Bundesliga|LM|76|79|75|67|75|27|74
Amath Ndiaye|RCD Mallorca|LaLiga Santander|LM|76|77|52|64|69|77|76
Riccardo Orsolini|Bologna|Serie A TIM|CAM|76|91|71|69|79|44|68
Jorge Sánchez|América|LIGA BBVA MX|RB|76|77|72|75|78|30|59
Ritsu Doan|PSV|Eredivisie|RM|76|67|60|75|74|72|71
Isi|Rayo Vallecano|LaLiga Santander|RM|76|61|37|64|62|76|80
Wesley Moraes Ferreir...|Club Brugge|1A Pro League|ST|76|72|68|77|78|74|75
Ben White|Arsenal|Premier League|CB|76|78|77|64|74|42|73
Dodi Lukébakio|VfL Wolfsburg|Bundesliga|RM|76|72|55|65|68|76|79
Philipp Lienhart|SC Freiburg|Bundesliga|CB|76|59|73|76|71|73|82
Amadou Diawara|Roma FC|Serie A TIM|CDM|76|81|75|64|73|38|76
Suat Serdar|Hertha Berlin|Bundesliga|CM|76|71|42|66|69|75|81
Pierre Lees-Melou|Norwich|Premier League|CM|76|62|38|50|54|80|76
Edu Expósito|SD Eibar|LaLiga SmartBank|CDM|76|85|68|72|77|61|56
Toni Villa|R. Valladolid CF|LaLiga SmartBank|LM|76|89|71|69|81|32|61
Jean Meneses|León|LIGA BBVA MX|LM|76|85|71|74|75|39|68
Matías Vargas|Adana Demirspor|Süper Lig|LM|76|72|73|76|76|70|77
Oussama Idrissi|Sevilla FC|LaLiga Santander|LW|76|76|42|56|62|76|77
Lucas Martínez Quarta|Fiorentina|Serie A TIM|CB|76|83|70|69|80|48|78
Borja Mayoral Moya|Roma FC|Serie A TIM|ST|76|72|69|75|80|26|54
Benjamin Henrichs|RB Leipzig|Bundesliga|RB|76|87|63|67|76|68|72
Pape Abou Cissé|Olympiacos CFP|Hellas Liga|CB|76|58|67|70|68|77|75
Sander Berge|Sheffield Utd|EFL Championship|CDM|76|83|51|70|73|68|78
Gastón Giménez|Chicago Fire FC|Major League Soccer|CDM|76|54|59|59|59|75|85
André-Franck Zambo An...|Napoli|Serie A TIM|CM|76|87|71|71|77|30|61
Lucas Tousart|Hertha Berlin|Bundesliga|CDM|76|68|70|76|77|65|69
Frédéric Guilbert|Strasbourg|Ligue 1 Uber Eats|RB|76|86|70|72|74|54|73
Jeremiah St. Juste|1. FSV Mainz 05|Bundesliga|CB|76|75|57|69|72|73|77
Vitor Hugo|Trabzonspor|Süper Lig|CB|76|70|75|66|76|32|68
Gonzalo Martínez|Al Nassr|MBS Pro League|CAM|76|73|70|75|78|54|61
Thilo Kehrer|Paris SG|Ligue 1 Uber Eats|CB|76|59|72|74|77|75|80
Ché Adams|Southampton|Premier League|ST|76|82|71|75|77|37|52
Denis Bouanga|AS Saint-Étienne|Ligue 1 Uber Eats|LM|76|79|76|73|78|41|75
Olivier Boscagli|PSV|Eredivisie|CB|76|91|55|67|77|70|59
Moussa Niakhaté|1. FSV Mainz 05|Bundesliga|CB|76|53|40|51|51|76|80
Stephy Mavididi|Montpellier|Ligue 1 Uber Eats|LM|76|63|64|77|77|68|64
İrfan Can Kahveci|Fenerbahçe|Süper Lig|CM|76|59|65|74|73|69|75
Bustinza|CD Leganés|LaLiga SmartBank|CB|76|50|67|75|68|75|77
Peter Olayinka|Slavia Praha|Česká Liga|LM|76|76|75|74|74|55|67
Ryan Kent|Rangers|cinch Premiership|CF|76|58|60|63|70|75|78
Yeimar Gómez Andrade|Sounders FC|Major League Soccer|CB|76|68|46|70|74|75|69
Sofyan Amrabat|Fiorentina|Serie A TIM|CDM|76|82|66|68|77|69|69
Henry Martín|América|LIGA BBVA MX|ST|76|63|78|62|70|36|73
Omar Al Somah|Al Ahli|MBS Pro League|ST|76|68|72|78|80|66|61
Ozan Tufan|Watford|Premier League|CM|76|91|51|66|73|70|69
Krzysztof Piątek|Fiorentina|Serie A TIM|ST|76|66|70|71|72|74|83
Otávio|Bordeaux|Ligue 1 Uber Eats|CDM|76|60|73|78|76|67|69
Rochinha|Vitória SC|Liga Portugal|LW|76|69|54|70|72|75|77
Mathias Normann|Norwich|Premier League|CDM|76|71|70|76|77|54|66
Anton Miranchuk|Lokomotiv Moscow|League of Russia|LM|76|73|77|59|76|33|69
Adam Armstrong|Southampton|Premier League|ST|76|66|67|76|75|68|79
Alfredo Morelos|Rangers|cinch Premiership|ST|76|78|62|74|72|72|74
Mickaël Malsa|Levante UD|LaLiga Santander|CM|76|77|78|67|74|31|72
Andrija Živković|PAOK|Hellas Liga|RW|76|39|41|52|50|79|72
Josh Brownhill|Burnley|Premier League|CM|76|78|76|61|75|49|80
Jan Bednarek|Southampton|Premier League|CB|76|80|75|73|82|49|63
Mattia Caldara|Venezia|Serie A TIM|CB|76|73|56|66|70|75|82
David Brooks|AFC Bournemouth|EFL Championship|RW|76|71|58|65|64|79|75
Islam Slimani|OL|Ligue 1 Uber Eats|ST|76|77|63|76|76|69|75
Alexander Sørloth|Real Sociedad|LaLiga Santander|ST|76|54|49|64|63|76|79
Anwar El Ghazi|Aston Villa|Premier League|LM|76|78|72|71|80|44|55
Arijan Ademi|Dinamo Zagreb|Liga Hrvatska|CDM|76|74|65|72|76|73|72
Keita Baldé|Cagliari|Serie A TIM|ST|76|66|70|74|78|70|63
Andrea Petagna|Napoli|Serie A TIM|ST|76|50|63|74|72|73|72
Bruno Petković|Dinamo Zagreb|Liga Hrvatska|ST|76|76|63|70|75|72|66
Rúben Vezo|Levante UD|LaLiga Santander|CB|76|64|57|62|62|75|87
Lucas Zelarayán|Columbus Crew|Major League Soccer|CAM|76|60|76|76|74|70|74
Lucas Romero|Independiente|CONMEBOL Sudamericana|CDM|76|59|51|61|61|76|82
Julio Buffarini|SD Huesca|LaLiga SmartBank|RB|76|66|61|73|72|76|74
Julio Furch|Atlas|LIGA BBVA MX|ST|76|58|40|64|61|78|73
Leonel Miranda|Racing Club|CONMEBOL Libertadores|CM|76|64|76|77|77|45|62
Silvio Romero|Independiente|CONMEBOL Sudamericana|ST|76|41|53|60|59|76|85
Flavien Tait|Stade Rennais FC|Ligue 1 Uber Eats|LM|76|81|72|70|81|30|53
Divock Origi|Liverpool|Premier League|ST|76|67|39|56|52|77|80
Niklas Stark|Hertha Berlin|Bundesliga|CB|76|42|66|72|73|73|72
Sebastián Palacios|Independiente|CONMEBOL Sudamericana|RW|76|69|79|76|77|42|67
Rony Lopes|Olympiacos CFP|Hellas Liga|RW|76|61|79|77|78|42|67
Ludwig Augustinsson|Sevilla FC|LaLiga Santander|LB|76|73|69|75|78|42|60
Jack O'Connell|Sheffield Utd|EFL Championship|CB|76|60|64|74|71|70|76
Riechedly Bazoer|Vitesse|Eredivisie|CB|76|71|67|74|74|75|74
Hwang Ui Jo|Bordeaux|Ligue 1 Uber Eats|ST|76|47|61|72|68|75|72
Alexander Scholz|Urawa Reds|Meiji Yasuda J1 League|CB|76|71|57|72|68|77|75
Robert Andrich|Leverkusen|Bundesliga|CM|76|66|41|55|59|78|78
Jamie Maclaren|Melbourne City|A-League|ST|76|67|65|72|73|72|75
Alexander Djiku|Strasbourg|Ligue 1 Uber Eats|CB|76|50|74|80|75|58|71
Brandon Mechele|Club Brugge|1A Pro League|CB|76|74|73|78|79|43|59
Darko Lazović|Hellas Verona|Serie A TIM|LM|76|76|76|60|75|34|68
Bruma|PSV|Eredivisie|LM|76|50|75|74|74|75|77
Fei Nanduo|Guangzhou FC|Chinese Football Association Super League|RM|76|66|65|77|76|73|66
Morgan Sanson|Aston Villa|Premier League|CM|76|39|53|67|62|77|74
Marc-Oliver Kempf|VfB Stuttgart|Bundesliga|CB|76|72|71|74|76|70|67
Paulo Oliveira|SC Braga|Liga Portugal|CB|76|81|76|71|74|32|72
Salem Al Dawsari|Al Hilal|MBS Pro League|LM|76|73|79|72|76|25|77
Farid Boulaya|FC Metz|Ligue 1 Uber Eats|CAM|76|68|79|69|70|48|82
Ridgeciano Haps|Venezia|Serie A TIM|LB|76|73|74|72|77|45|69
Fabian Schär|Newcastle Utd|Premier League|CB|76|84|68|72|75|72|68
Eugenio Mena|Racing Club|CONMEBOL Libertadores|LB|76|71|71|75|79|34|65
Dória|Santos Laguna|LIGA BBVA MX|CB|76|53|73|77|76|69|67
David Moberg Karlsson|Sparta Praha|Česká Liga|RM|76|35|33|54|48|78|73
Adrien Thomasson|Strasbourg|Ligue 1 Uber Eats|CAM|76|71|73|68|78|38|73
Óscar Plano|R. Valladolid CF|LaLiga SmartBank|RM|76|70|68|76|76|61|66
Thomas Foket|Stade de Reims|Ligue 1 Uber Eats|RB|76|47|65|76|73|70|76
Munas Dabbur|TSG Hoffenheim|Bundesliga|ST|76|79|72|77|76|64|74
Petros Mantalos|AEK Athens|Hellas Liga|CAM|76|58|65|78|75|69|73
Gabriel|SL Benfica|Liga Portugal|CM|76|70|73|79|81|67|69
Dimitrios Pelkas|Fenerbahçe|Süper Lig|LM|76|73|61|75|72|78|71
Oussama Tannane|Vitesse|Eredivisie|CAM|76|72|72|77|76|68|74
Paulo Otávio|VfL Wolfsburg|Bundesliga|LB|76|91|68|68|77|35|57
Pablo Marí Villar|Arsenal|Premier League|CB|76|83|67|76|79|30|37
Will Hughes|Crystal Palace|Premier League|CM|76|73|67|71|73|73|75
Jordan Ferri|Montpellier|Ligue 1 Uber Eats|CDM|76|44|60|71|69|75|77
Luka Milivojević|Crystal Palace|Premier League|CDM|76|74|53|72|75|73|71
Denis Cheryshev|Valencia CF|LaLiga Santander|LM|76|85|70|69|78|39|59
Isaac Hayden|Newcastle Utd|Premier League|CDM|76|58|72|78|79|33|64
Mattia De Sciglio|Piemonte Calcio|Serie A TIM|RB|76|40|67|81|75|62|55
Alberto Moreno|Villarreal CF|LaLiga Santander|LB|76|32|51|67|64|78|76
Niclas Füllkrug|SV Werder Bremen|Bundesliga 2|ST|76|78|79|71|78|39|75
Daniele Baselli|Torino|Serie A TIM|CM|76|66|72|79|78|47|71
Ryan Fredericks|West Ham|Premier League|RB|76|75|43|69|74|73|67
Okay Yokuşlu|RC Celta|LaLiga Santander|CDM|76|39|63|76|76|74|68
Fayçal Fajr|Sivasspor|Süper Lig|CM|76|63|59|70|69|75|76
Charlie Taylor|Burnley|Premier League|LB|76|63|69|82|77|64|63
Mauricio Pereyra|Orlando City|Major League Soccer|CAM|76|61|64|73|71|75|74
Michy Batshuayi|Beşiktaş|Süper Lig|ST|76|53|76|76|74|68|75
Roque Mesa|R. Valladolid CF|LaLiga SmartBank|CM|76|76|79|69|76|30|72
Kenny Lala|Olympiacos CFP|Hellas Liga|RB|76|80|75|58|72|46|80
M'Baye Niang|Stade Rennais FC|Ligue 1 Uber Eats|ST|76|75|65|74|73|72|69
Robin Knoche|Union Berlin|Bundesliga|CB|76|85|51|72|74|67|75
Simone Zaza|Torino|Serie A TIM|ST|76|92|68|69|78|35|64
Igor Coronado|Al Ittihad|MBS Pro League|CAM|76|77|78|70|79|25|63
Danny da Costa|Frankfurt|Bundesliga|RWB|76|66|54|64|72|76|75
Jeffrey Gouweleeuw|FC Augsburg|Bundesliga|CB|76|75|58|69|74|73|64
Jonathan Schmid|SC Freiburg|Bundesliga|RB|76|81|66|74|78|62|68
Salif Sané|FC Schalke 04|Bundesliga 2|CB|76|72|77|58|72|24|75
Nicola Sansone|Bologna|Serie A TIM|CAM|76|67|73|75|75|64|63
Layvin Kurzawa|Paris SG|Ligue 1 Uber Eats|LB|76|75|61|75|74|70|62
Vladimír Darida|Hertha Berlin|Bundesliga|CM|76|85|72|70|79|68|72
Milan Badelj|Genoa|Serie A TIM|CDM|76|66|59|73|77|71|79
Cédric|Arsenal|Premier League|RB|76|84|75|69|73|40|84
Pedro Mendes|Montpellier|Ligue 1 Uber Eats|CB|76|93|72|70|80|36|50
Gernot Trauner|Feyenoord|Eredivisie|CB|76|85|73|68|78|50|64
Marco van Ginkel|PSV|Eredivisie|CM|76|83|77|72|81|47|80
Erik Sviatchenko|FC Midtjylland|3F Superliga|CB|76|97|70|70|77|50|73
Matthew Lowton|Burnley|Premier League|RB|76|93|73|73|78|48|74
Sergi Gómez|RCD Espanyol|LaLiga Santander|CB|76|87|78|62|77|35|74
Nolito|RC Celta|LaLiga Santander|LM|76|87|60|71|75|70|76
Nicolas Pallois|FC Nantes|Ligue 1 Uber Eats|CB|76|95|72|71|80|38|75
Nathan Redmond|Southampton|Premier League|LM|76|90|71|74|77|43|77
Óscar Murillo|Pachuca|LIGA BBVA MX|CB|76|67|37|60|66|76|87
Tomás Pina|D. Alavés|LaLiga Santander|CM|76|78|79|60|74|40|71
Wahbi Khazri|AS Saint-Étienne|Ligue 1 Uber Eats|ST|76|77|75|63|72|38|78
Andriy Yarmolenko|West Ham|Premier League|RM|76|90|73|70|80|46|78
Filip Đuričić|Sassuolo|Serie A TIM|CAM|76|65|64|73|75|69|71
Xavier Chavalerin|ESTAC Troyes|Ligue 1 Uber Eats|CDM|76|75|72|73|76|69|74
Ricardo Rodríguez|Torino|Serie A TIM|LB|76|72|58|71|75|74|68
Maxime Gonalons|Granada CF|LaLiga Santander|CDM|76|74|72|73|78|63|63
Kevin Vogt|TSG Hoffenheim|Bundesliga|CB|76|48|33|63|58|75|80
Néstor Araújo|RC Celta|LaLiga Santander|CB|76|52|43|54|59|76|75
Mats Rits|Club Brugge|1A Pro League|CDM|76|85|71|62|78|27|65
Pascal Groß|Brighton|Premier League|CM|76|74|76|68|76|43|63
Adem Ljajić|Beşiktaş|Süper Lig|CAM|76|73|74|59|74|25|62
Teemu Pukki|Norwich|Premier League|ST|76|76|37|49|53|74|85
Kevin Strootman|Cagliari|Serie A TIM|CM|76|72|65|75|75|65|75
Sebastian Rudy|TSG Hoffenheim|Bundesliga|CM|76|65|42|58|60|75|78
Daniel Carriço|UD Almería|LaLiga SmartBank|CB|76|77|73|71|78|36|66
Alan Dzagoev|CSKA Moscow|League of Russia|CM|76|72|68|72|78|39|51
Fedor Smolov|Lokomotiv Moscow|League of Russia|ST|76|56|75|55|67|28|82
Mario Balotelli|Adana Demirspor|Süper Lig|ST|76|85|76|67|75|43|82
Cristhian Stuani|Girona FC|LaLiga SmartBank|ST|76|65|71|75|75|71|66
Fabio Borini|Karagümrük SK|Süper Lig|LW|76|63|62|75|74|72|74
Patrick van Aanholt|Galatasaray|Süper Lig|LB|76|68|69|75|76|63|66
Sofiane Feghouli|Galatasaray|Süper Lig|RM|76|75|71|73|80|45|64
Adrien Silva|Sampdoria|Serie A TIM|CM|76|66|56|70|68|76|76
Romain Thomas|Angers SCO|Ligue 1 Uber Eats|CB|76|70|74|74|75|65|66
Eric Maxim Choupo-Moting|FC Bayern München|Bundesliga|ST|76|66|71|76|76|69|69
Marc Albrighton|Leicester City|Premier League|RM|76|80|73|75|80|44|50
Albin Ekdal|Sampdoria|Serie A TIM|CM|76|79|59|73|69|74|84
Emiliano Vecchio|Rosario Central|CONMEBOL Sudamericana|CAM|76|67|77|65|73|42|75
Marcelo Díaz|Libertad|CONMEBOL Sudamericana|CDM|76|71|68|73|81|42|49
Zlatko Junuzović|RB Salzburg|Österreichische Fußball-Bundesliga|CM|76|35|40|53|55|77|75
Domenico Criscito|Genoa|Serie A TIM|CB|76|79|73|64|72|34|81
Caner Erkin|Fenerbahçe|Süper Lig|LB|76|75|35|47|52|76|74
Gervinho|Trabzonspor|Süper Lig|LW|76|63|74|74|77|49|55
Diego Buonanotte|Uni. Católica|CONMEBOL Libertadores|CAM|76|81|63|70|77|71|72
Lorenzo De Silvestri|Bologna|Serie A TIM|RB|76|75|75|68|76|46|74
